Lote COD,Lote Numero,Tipo Uva,tn/Lote,Dia optimo cosecha estimado inicialmente,Prob de lluvia (seca a lluvia),Prob de lluvia (lluvia a lluvia),usd Compra Futuro/ kg uva
L_194_C4,194,C4,502.5,73,0.35,0.32,0.27
L_195_C5,195,C5,427.5,124,0.31,0.41,0.787
L_196_C2,196,C2,408.75,115,0.42,0.35,0.416
L_197_C1,197,C1,330,100,0.47,0.53,0.539
L_198_C3,198,C3,378.75,103,0.36,0.58,0.607
L_199_C5,199,C5,307.5,129,0.34,0.5,0.814
L_200_C5,200,C5,536.25,116,0.39,0.34,0.828
L_201_C1,201,C1,150,82,0.34,0.49,0.534
L_202_C3,202,C3,315,112,0.4,0.42,0.568
L_203_C3,203,C3,303.75,100,0.47,0.33,0.607
L_204_C2,204,C2,138.75,78,0.38,0.47,0.414
L_205_C2,205,C2,468.75,98,0.37,0.35,0.403
L_206_C3,206,C3,405,93,0.5,0.45,0.608
L_207_C5,207,C5,465,127,0.49,0.49,0.802
L_208_C2,208,C2,236.25,91,0.43,0.52,0.408
L_209_C5,209,C5,378.75,91,0.43,0.39,0.829
L_210_C4,210,C4,495,108,0.49,0.44,0.272
L_211_C5,211,C5,543.75,123,0.39,0.42,0.834
L_212_C5,212,C5,360,120,0.43,0.45,0.8
L_213_C4,213,C4,472.5,105,0.48,0.32,0.278
L_214_C1,214,C1,498.75,104,0.45,0.44,0.51
L_215_C6,215,C6,375,117,0.45,0.59,0.352
L_216_C2,216,C2,176.25,95,0.33,0.49,0.413
L_217_C3,217,C3,528.75,121,0.33,0.55,0.595
L_218_C4,218,C4,112.5,94,0.3,0.37,0.276
L_219_C4,219,C4,416.25,85,0.44,0.45,0.274
L_220_C4,220,C4,228.75,126,0.44,0.39,0.279
L_221_C6,221,C6,487.5,90,0.39,0.39,0.359
L_222_C6,222,C6,457.5,129,0.42,0.33,0.345
L_223_C2,223,C2,502.5,115,0.38,0.42,0.412
L_224_C2,224,C2,495,92,0.46,0.55,0.417
L_225_C4,225,C4,101.25,130,0.44,0.55,0.276
L_226_C2,226,C2,435,96,0.41,0.46,0.387
L_227_C3,227,C3,112.5,82,0.3,0.35,0.584
L_228_C2,228,C2,551.25,113,0.42,0.43,0.389
L_229_C2,229,C2,232.5,81,0.37,0.51,0.418
L_230_C5,230,C5,176.25,109,0.46,0.51,0.783
L_231_C3,231,C3,300,74,0.45,0.32,0.603
L_232_C5,232,C5,446.25,118,0.33,0.32,0.778
L_233_C5,233,C5,431.25,104,0.38,0.55,0.829
L_234_C1,234,C1,427.5,90,0.42,0.44,0.551
L_235_C2,235,C2,168.75,106,0.3,0.42,0.414
L_236_C4,236,C4,363.75,95,0.3,0.54,0.271
L_237_C3,237,C3,116.25,121,0.31,0.58,0.554
L_238_C5,238,C5,198.75,71,0.32,0.42,0.808
L_239_C5,239,C5,266.25,119,0.42,0.51,0.813
L_240_C3,240,C3,108.75,130,0.43,0.42,0.595
L_241_C4,241,C4,322.5,95,0.41,0.43,0.274
L_242_C4,242,C4,247.5,104,0.41,0.41,0.27
L_243_C1,243,C1,498.75,84,0.4,0.35,0.552
L_244_C5,244,C5,251.25,127,0.42,0.37,0.785
L_245_C5,245,C5,296.25,85,0.47,0.43,0.821
L_246_C1,246,C1,551.25,127,0.43,0.55,0.538
L_247_C6,247,C6,367.5,126,0.47,0.48,0.361
L_248_C1,248,C1,367.5,123,0.34,0.52,0.543
L_249_C4,249,C4,558.75,121,0.44,0.36,0.272
L_250_C3,250,C3,510,105,0.48,0.33,0.581
L_251_C6,251,C6,127.5,117,0.46,0.39,0.35
L_252_C6,252,C6,176.25,106,0.42,0.36,0.35
L_253_C6,253,C6,150,85,0.45,0.56,0.357
L_254_C3,254,C3,165,87,0.42,0.46,0.605
L_255_C5,255,C5,528.75,91,0.37,0.49,0.783
L_256_C1,256,C1,120,95,0.43,0.42,0.527
L_257_C3,257,C3,438.75,78,0.3,0.49,0.606
L_258_C2,258,C2,153.75,121,0.44,0.59,0.413
L_259_C2,259,C2,127.5,74,0.42,0.32,0.418
L_260_C3,260,C3,408.75,78,0.3,0.51,0.576
L_261_C5,261,C5,393.75,82,0.3,0.48,0.781
L_262_C2,262,C2,461.25,109,0.3,0.45,0.39
L_263_C6,263,C6,236.25,74,0.44,0.53,0.361
L_264_C1,264,C1,525,121,0.49,0.4,0.552
L_265_C6,265,C6,457.5,84,0.3,0.55,0.353
L_266_C6,266,C6,532.5,75,0.45,0.5,0.355
L_267_C3,267,C3,547.5,124,0.3,0.41,0.6
L_268_C1,268,C1,345,91,0.33,0.52,0.555
L_269_C3,269,C3,337.5,104,0.33,0.42,0.613
L_270_C4,270,C4,101.25,123,0.44,0.48,0.274
L_271_C2,271,C2,183.75,97,0.45,0.6,0.414
L_272_C1,272,C1,446.25,80,0.31,0.48,0.529
L_273_C6,273,C6,258.75,96,0.47,0.33,0.342
L_274_C1,274,C1,416.25,117,0.43,0.42,0.524
L_275_C4,275,C4,382.5,73,0.31,0.54,0.276
L_276_C1,276,C1,345,112,0.4,0.58,0.531
L_277_C3,277,C3,348.75,100,0.39,0.44,0.61
L_278_C5,278,C5,206.25,106,0.31,0.35,0.823
L_279_C4,279,C4,446.25,128,0.41,0.42,0.255
L_280_C2,280,C2,431.25,115,0.49,0.48,0.401
L_281_C1,281,C1,161.25,77,0.33,0.34,0.547
L_282_C6,282,C6,487.5,101,0.37,0.41,0.331
L_283_C4,283,C4,277.5,110,0.32,0.59,0.271
L_284_C3,284,C3,360,72,0.49,0.6,0.599
L_285_C6,285,C6,382.5,128,0.35,0.52,0.351
L_286_C2,286,C2,247.5,98,0.37,0.6,0.408
L_287_C5,287,C5,187.5,112,0.39,0.49,0.833
L_288_C6,288,C6,206.25,83,0.41,0.55,0.353
L_289_C5,289,C5,442.5,113,0.32,0.52,0.833
L_290_C6,290,C6,315,81,0.36,0.59,0.356
